topic,rank,title,url,snippet
1,1,Learn how to make 10 great paper airplanes with free ...,http://www.10paperairplanes.com/,"Learn how to make 10 cool paper airplanes with free animated folding instructions. Learn how to make 10 great paper airplane designs with free, easy to follow animated instructions! This site contains many graphics and may take a while to load if you are using a dial up modem. If you want to know how to make paper airplanes it is worth the wait ..."
1,3,The 50/30/20 Budgeting Rule-How It Works,https://www.thebalance.com/the-50-30-20-rule-of-thumb-453922,"Let's say your total take-home pay each month is $3,500. Using the 50-30-20 rule, you can spend no more than $1,750 on your needs per month. You probably can't afford a $1,500-a-month rent or mortgage payment, at least not unless your utilities, car payment, minimum credit card payments, insurance premiums, and other necessities of life don't exceed $250 a month."
1,4,Benefits By Year Of Birth - Social Security Administration,https://www.ssa.gov/planners/retire/agereduction.html,"Benefits By Year Of Birth. Full retirement age is the age at which a person may first become entitled to full or unreduced retirement benefits. No matter what your full retirement age (also called ""normal retirement age"") is, you may start receiving benefits as early as age 62 or as late as age 70."
1,5,Air Conditioners & Fans - The Home Depot,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Conditioners/N-5yc1vZc4me,"Beat the heat with a new air conditioner. Let us help you pick the right room air conditioner - portable air conditioner, window air conditioners, even whole house HVAC systems. Order online and pick up in two ho"
1,6,United Airlines,https://www.united.com,"If you're seeing this message, that means JavaScript has been disabled on your browser, please enable JS to make this app work."
1,7,What Are the Parts of a Mortgage Payment? - Prosperity ...,https://www.phmloans.com/blog/2017/01/04/parts-of-a-mortgage-payment/phm,"If you're planning to purchase a home this year, be sure to understand each of the components that make up a mortgage payment, which can help you determine a monthly payment with which you are comfortable. Here are the parts of a mortgage payment:"
1,8,Are you emotionally prepared to handle retirement?,https://www.cnbc.com/2015/05/07/are-you-emotionally-prepared-to-handle-retirement.html,"We spend time daydreaming of what retirement will be like, but you may be surprised to know that many of those nearing retirement fear they are not emotionally prepared."
1,9,Salvador Dal­ - Wikipedia,https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD,"Salvador Dal­ was born on 11 May 1904, at 8:45 am GMT, [failed verification] on the first floor of Carrer Monturiol, 20 in the town of Figueres, in the Empord  region, close to the French border in Catalonia, Spain. Dal­'s older brother, who had also been named Salvador (born 12 October 1901), had died of gastroenteritis nine months earlier, on 1 August 1903."
1,10,Automatism | Definition of Automatism by Merriam-Webster,https://www.merriam-webster.com/dictionary/automatism,Automatism definition is - the quality or state of being automatic. How to use automatism in a sentence.
1,11,Surrealist automatism - Wikipedia,https://en.wikipedia.org/wiki/Surrealist_automatism,"Surrealist automatism is a method of art-making in which the artist suppresses conscious control over the making process, allowing the unconscious mind to have great sway. Early 20th-century Dadaists, such as Hans Arp, made some use of this method through chance operations."
